LVL,DATE,COUNTY_FIPS,POP_AT_HOME,POP_NOT_AT_HOME,NUM_OF_TRIPS
State,2019/01/06,,645969.0,2500528.0,10209637.0
State,2019/01/06,,1359345.0,5312081.0,22067633.0
State,2019/01/06,,192299.0,771915.0,2893358.0
State,2019/01/06,,299366.0,1034948.0,3694147.0
State,2019/01/06,,875114.0,3770617.0,17087185.0
State,2019/01/06,,916847.0,3537895.0,15524365.0
State,2019/01/06,,609402.0,2293199.0,9909036.0
State,2019/01/06,,207222.0,493086.0,3736750.0
State,2019/01/06,,735200.0,2826545.0,11273215.0
State,2019/01/06,,1270917.0,4407239.0,21216233.0
State,2019/01/06,,8192648.0,31243488.0,128266423.0
State,2019/01/06,,542512.0,2462104.0,9220058.0
State,2019/01/06,,1467964.0,5681762.0,21749839.0
State,2019/01/06,,176932.0,558250.0,2345116.0
State,2019/01/07,,126972.0,448998.0,2195029.0
State,2019/01/07,,813761.0,4059173.0,16612828.0
State,2019/01/07,,170350.0,564832.0,2586031.0
State,2019/01/07,,1392886.0,5756840.0,23493821.0
State,2019/01/07,,7778324.0,31657812.0,136388662.0
State,2019/01/07,,1222854.0,4455302.0,22452085.0
State,2019/01/07,,510440.0,2494176.0,9896249.0
State,2019/01/07,,691502.0,2870243.0,11847873.0
State,2019/01/07,,179710.0,784504.0,3030748.0
State,2019/01/07,,195109.0,505199.0,3998759.0
State,2019/01/07,,3612757.0,17621465.0,70631385.0
State,2019/01/07,,1882872.0,8604451.0,34417210.0
State,2019/01/07,,280087.0,1136063.0,4856513.0
State,2019/01/07,,341267.0,1407580.0,5530483.0
State,2019/01/07,,2631044.0,10071089.0,47704876.0
State,2019/01/07,,1271892.0,5399534.0,23397086.0
State,2019/01/07,,610079.0,2536418.0,11020352.0
State,2019/01/07,,581805.0,2320796.0,11038646.0
State,2019/01/07,,856825.0,3597917.0,16373053.0
State,2019/01/07,,826586.0,3819145.0,18540540.0
State,2019/01/07,,282600.0,1051714.0,3966832.0
State,2019/01/07,,1109080.0,4915170.0,21329922.0
State,2019/01/07,,1457879.0,5423174.0,27384738.0
State,2019/01/07,,1858212.0,8107151.0,34141998.0
State,2019/01/07,,1020841.0,4573190.0,19838346.0
State,2019/01/07,,478649.0,2498755.0,9975552.0
State,2019/01/07,,1249776.0,4857949.0,20937246.0
